# cd telperion/examples/rvm_bridge/lean && lake env lean Crux/Crux_axiso_construct.lean
# (Lean v4.33.0-rc2, Mathlib 51e6992e, Zeta23 fbdc36bb; run 2026-09-23; exit 0; no errors, no warnings)
'CruxAxisoConstruct.logMul_eq_convolution' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.logDerivCoeff_prime' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.logDerivCoeff_prime_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.coeff_nonneg_of_logDeriv_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.positivity_lemma' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.P2_forces_sq_ineq' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.zeta_P2' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.LSeries_dvdInd' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.P0_factor' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.P0_reciprocal' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.P0_reciprocal_four' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.F0_eq_LSeries' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.a0_cases' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.a0_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.a0_mul_coprime' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.F0_logDerivCoeff_four' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.F0_not_P2' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.Xi0_entire' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.Xi0_one_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.Xi0_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.P0_eq_zero_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.P0_zero_re' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.Xi0_zero_offline' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.Fc_eq_LSeries' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.Fc_logDerivCoeff_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.Pc_selfRecip_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.Pc_sqrt_selfRecip' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.lemmaC_prime' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.geomCoeff_hasSum' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.F0_logDeriv_exists' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.F0_vonMangoldt_four' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.F0_vonMangoldt_two_pow' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.Fc_logDeriv_exists' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.sq_family_core' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.logDerivCoeff_prime_pow' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.Fq_eq_LSeries' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.Fq_plus_values' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.lemmaC_prime_sq_plus' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.lemmaC_prime_sq_minus' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.Pq_selfRecip_cases' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.Pq_plus_selfRecip' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.Pq_minus_selfRecip' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.lemmaC_prime_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.exists_nontrivial_zero_above' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.XiPair_entire' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.XiPair_one_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.XiPair_zero_re' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.XiPair_no_zero_on_line' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.XiPair_offline_zeros' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.Xi1_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.Xi1_one_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.Xi1_entire' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.Xi1_no_zero_on_line' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.Xi1_zero_re' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.Xi1_offline_zeros' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.XiE8_one_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.XiE8_entire' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.XiE8_zero_re' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.XiE8_offline_zeros' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.b1_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.F1_logDeriv_hasSum' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.F1_pole_half' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.ceF_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.ceF_nonpos' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.ceF_eq_zero_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.ceFhat_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.ceFhat_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.ceFhat_eq_zero_of_one_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.ce_support_forcing' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.thmA_step3_plus' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.thmA_step3_minus' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.rescale_pole' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxAxisoConstruct.rescale_reflect' depends on axioms: [propext, Classical.choice, Quot.sound]
