'Crux.AxisoTheorem.monotone_of_fwdDiff_iter_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.eq_of_monotone_periodic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.finite_difference_rigidity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.MomCum.nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.MomCum.term_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.choose_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.MomCum.factorial_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.MomCum.cumulant_eq_zero_of_bdd' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.MomCum.eq_pow_of_bdd' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.cumulant_rigidity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.af_sub_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.pmul_mul_of_additive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.pmul_pmul_comm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.pmul_sub'' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.isAdditiveWeight_log' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.vp_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.isAdditiveWeight_vp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.eq_zero_of_pmul_log' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.IsDirExp.pmul_additive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.IsDirExp.nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.IsDirExp.vp_recursion' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.sum_divisors_mul_coprime' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.sum_divisors_mul_prod' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.padicValNat_mul_prod' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.mul_prod_div' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.IsDirExp.recursion_insert' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.IsDirExp.sqfree_cumulant' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.momCum_cum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.step1_units' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.IsQSmooth.dvd' depends on axioms: [propext]
'Crux.AxisoTheorem.sqfree_b_of_units' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.IsDirExp.split_smooth' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.natCast_mul_prod_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.step2_smooth' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.step2_unit_invariant' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.step2' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.step3_shift' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.step3' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.mem_Mk' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.factorization_le_cardFactors' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.dvd_pow_cardFactors' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.one_mem_Mk_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.diag_conv' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.card_Mk_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.AbsSum.summable' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.AbsSum.add' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.pev_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.AbsSum.mul_C' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.AbsSum.mul_X' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.AbsSum.mul_poly' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.absSum_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.pev_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.pev_coe' depends on axioms: [propext, Classical.choice, Quot.sound]
