'Crux2KappaCertify.block_assembly' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2KappaCertify.schur_link' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2KappaCertify.posdef_of_box' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2KappaCertify.PathGraph.path_quad_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2KappaCertify.SchurTest.schur_test' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2KappaCertify.LemmaA.W_rec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2KappaCertify.LemmaA.shift_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2KappaCertify.LemmaA.shift_bound_signed' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2KappaCertify.LemmaA.comb_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2KappaCertify.LemmaA.prime_comb_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2KappaCertify.Core_x6996_even.Sq_ldl' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2KappaCertify.Core_x6996_even.core_posdef' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2KappaCertify.Core_x6996_even.core_schur' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2KappaCertify.Core_x6996_odd.Sq_ldl' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2KappaCertify.Core_x6996_odd.core_posdef' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2KappaCertify.Core_x6996_odd.core_schur' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2KappaCertify.Core_x11006_even.Sq_ldl' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2KappaCertify.Core_x11006_even.core_posdef' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2KappaCertify.Core_x11006_even.core_schur' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2KappaCertify.Core_x11006_odd.Sq_ldl' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2KappaCertify.Core_x11006_odd.core_posdef' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2KappaCertify.Core_x11006_odd.core_schur' depends on axioms: [propext, Classical.choice, Quot.sound]
