'Crux2UnifiedBarrier.surg_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.surg_one_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.surg_conj' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.surg_differentiable' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.surg_eq_localPoly' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.normSq_Xi_decomp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.Xi_contractive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.Xi_edge' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.two_cosh_half_log' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.surg_trivial_bound_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.surg_trivial_bound_iff_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.surg_contractive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.surg_edge' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.surg_unitary' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.channelAxioms_mul_surg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.channelAxioms_W' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.two_lt_abs_div_sqrt_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.surg_rh_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.surg_offline_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.rh_W_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.lowcert_kills' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.XiA_eq_surg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.XiH_eq_W55' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.log41_gt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.pi_div_log41_lt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.lowHeightBox_nonrelativizing' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.Ploc_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.tLoc_one' does not depend on any axioms
'Crux2UnifiedBarrier.tLoc_two' depends on axioms: [propext]
'Crux2UnifiedBarrier.tLoc_rec' does not depend on any axioms
'Crux2UnifiedBarrier.bLoc_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.p_two_le' depends on axioms: [propext]
'Crux2UnifiedBarrier.Ploc_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.Ploc_p' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.Ploc_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.Ploc_eq_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.Ploc_pow_eq_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.bLoc_pow' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.bLoc_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.bLoc_eq_zero_of' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.bLoc_mul_log_pow' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.Ploc_isDirExp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.isDirExp_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.W_isDirExp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.zetaLogCoeff_pow' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.bW_pow' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.bW_eq_zeta_off' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.bW_nonneg_below' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.bW_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.tr_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.bW_odd_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.bW_even_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.aW_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.aW_coprime' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.aW_periodic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.aW_top' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.classP_sharp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.W_completion' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.positivity_at_powers_kills' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.positivity_at_sq_kills' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.semilocal_barrier' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.golden_unified' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.W41_semilocal_violates_box1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.defect_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.defect_eq_zero_off' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.defect_pow' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.tLoc_abs_le_sqrt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.tLoc_abs_le_big' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.bigRoot_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.bigRoot_lt_p' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.p_le_bigRoot' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.robust_positivity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.robust_positivity_fails' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.robust_positivity_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.tr_complex_rep' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.exists_complex_roots' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.tr_double' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.tLoc_large' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.tLoc_large_frequently' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.surgery_not_selberg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.Ploc_isMultiplicative' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.aW_isMultiplicative' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.zetaLogCoeff_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.twistScale_contDiff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.twistScale_hasCompactSupport' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.twistScale_pointwise' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.lattice_poisson' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.lattice_poisson_small' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.lattice_poisson_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.Xi_zero_iff_lattice' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.half_add_I_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.lattice_branches_disjoint' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.lattice_branch_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.Xi_hasDerivAt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.Xi_zero_simple' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.surg_explicit_formula' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.surg_zero_sum_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.PlocC_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.aW_coe_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2UnifiedBarrier.PlocC_support' depends on axioms: [propext, Classical.choice, Quot.sound]
