'Crux2VerifiedWindow.amgm_weighted' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2VerifiedWindow.schur_twist_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2VerifiedWindow.amgm_window' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2VerifiedWindow.schur_comb' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2VerifiedWindow.primeSide_autocorr_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2VerifiedWindow.autocorr_modulate' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2VerifiedWindow.primeSide_autocorr_modulate' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2VerifiedWindow.primeSide_autocorr_twist_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2VerifiedWindow.weilForm_autocorr_ge' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2VerifiedWindow.checkRows_sound' depends on axioms: [propext]
'Crux2VerifiedWindow.mMinus_sound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2VerifiedWindow.mPlus_sound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2VerifiedWindow.schur_of_check' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2VerifiedWindow.primeSide_autocorr_le_of_check' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2VerifiedWindow.cw_check' depends on axioms: [propext]
'Crux2VerifiedWindow.primeSide_autocorr_le_cert' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2VerifiedWindow.primeSide_autocorr_le_cert_weil' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2VerifiedWindow.primeSide_autocorr_twist_le_cert' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2VerifiedWindow.weilForm_autocorr_ge_cert' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2VerifiedWindow.combMass_gt_three_lam' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2VerifiedWindow.weil_almost_pos_of_glue' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2VerifiedWindow.weil_almost_pos_cert' depends on axioms: [propext, Classical.choice, Quot.sound]
