# cd telperion/examples/rvm_bridge/lean && leanlock.sh lake env lean Crux/Crux_meta_barriers.lean   (exit 0, no errors, no warnings; Lean v4.33.0-rc2, Mathlib 51e6992e, Zeta23 fbdc36bb)
'CruxMetaBarriersRvM.Xi_symm' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.cosh_decomp' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.sqrt5_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.sqrt5_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.phi_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.one_lt_phi' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.phi_lt' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.phi_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.cosh_log_phi' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.log5_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.log5_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.log_phi_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.log_phi_lt' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.two_log_phi_lt_log5' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.x0_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.x0_lt_half' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.x0_lt' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.pi_div_log5_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.fakeZero_re' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.fakeZero_im' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.cosh_w0' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.XiA_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.w_of_fakeZero' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.XiA_fakeZero' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.XiA_eq_zero_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.XiA_periodic' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.fakeZero_re_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.fakeZero_re_ne_half' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.fakeZero_abs_re_sub_half' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.one_le_abs_two_mul_add_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.fakeZero_abs_im_ge' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.fakeZero_im_sq_ge' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.fakeZero_in_box' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.gammaOf_fakeZero' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.gauss_at' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.re_gauss_at' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.norm_gauss_at' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.gammaOf_fakeZero'' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.re_gauss_fake' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.norm_gauss_fake' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.x0_sq_lt' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.bracket_ge' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.Aterm_ge_abs' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.trig_signs' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.Aterm_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.Aterm_ge_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.exp_neg_eight_tenths' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.Aterm_neighbor' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.exp_ge_pow4' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.tail_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.spacing_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.tk_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.u_jIdx_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.u_shift' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.abs_u_ge_of_far' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.exp_neg_half_abs_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.hasSum_two_sided' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.hasSum_two_sided_shift' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.r_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.gauss_le_exp_abs' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.summable_fake_gauss' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.pair_ge' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.far_ge' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.fake_gaussian_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.hybrid_gaussian_positivity_small' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.hybrid_gaussian_envelope' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.log_phi_gt' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.x0_gt' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.tk_center' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.far_half' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.fake_gaussian_negative' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.XiA_differentiable' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.XiA_one_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.XiHR_entire' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.XiHR_one_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.hasDerivAt_XiA' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.deriv_XiA_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.analyticOrderAt_XiA' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.analyticOrderNatAt_XiHR' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.fakeZero_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.fake_indicator_split' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.fake_reindex' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.XiHRZeroSide_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.summable_fake_gauss_sign' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.XiHR_gaussian_positivity_small' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.XiHR_gaussian_envelope' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.XiHR_offline_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxMetaBarriersRvM.gaussian_layer_barrier' depends on axioms: [propext, Classical.choice, Quot.sound]
