'CruxFQK.fourier_tri' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.poisson_rigidity' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.selfDual_rigidity' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.isPoissonPair_of_even' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.fourier_gauss' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.gauss_conv' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.Tdef_gauss' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.Tdef_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.norm_Tdef_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.exists_gauss_poly_approx' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.Tdef_even_eq_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.tendsto_sqrt_mul_Tdef' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.isPoissonPairEven_of_theta' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.isPoissonPair_of_theta' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.mθ_dyadic_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.integrable_fej_of_theta' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.thmA_theta' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.thmA_theta_selfDual' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.theta_gap_gt_one_forces_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.translation_bounded_of_theta' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.jθ_inv' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.intComb_theta' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.intComb_theta_admissible' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.nup_theta' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.nup_isPoissonPair_via_theta' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.theta_rigidity_is_rh_blind' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.theta_fooling_onset' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.controls_in_theta_form' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.writer_thmA_theta' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.writer_gaussian_determination' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.integrable_gauss_of_beurling' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.symmExt_isNegInvariant' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.classP_collapse_beurling_q1_of_theta' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.classP_collapse_beurling_q1_of_step2' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.no_antiTheta' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.step2_of_hamburgerConverse' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQK.classP_collapse_beurling_q1_of_hamburgerConverse' depends on axioms: [propext, Classical.choice, Quot.sound]
