command: cd telperion/examples/li_positivity/lean && leanlock.sh lake env lean Crux/Crux2_rigidity_rate.lean  (Lean v4.34.0-rc1, Mathlib de5ce8a9; exit 0, no errors, no warnings)
sha256: 98edde222b36ad9d9f51d55b3a666e4efef2747655d9e461d99afb62b33035f2
#print axioms lines: 80

'Crux2RigidityRate.triAnti_hasDerivAt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.tri_cos_integral' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.tri_cos_integral_symm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.tri_integral_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.four_dist_sq_le_sin_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.triPairHat_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.triPair_eq_of_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.window_defect_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.atom_le_triPairHat' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.sinc_sq_ge' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.window_defect_stability' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.window_defect_rigidity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.window_defect_counting' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.fake_vonMangoldt_bracket_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.fake_local_factor_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.fake_local_coeffs_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.fakeLocal_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.fakeCoeff_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.fakeCoeff_eq_one_of_lt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.sincSq_int_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.tri_cos_integral_all' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.cos_mul_cos_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.tri_cos_cos_integral' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.triPairHat_mod_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.triPairHat_mod_int' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.ofLocal_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.ofLocal_isMultiplicative' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.ofLocal_prime_pow' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.alphaP_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.alphaBarP_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.alpha_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.alpha_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.fakeCoeff_eq_ofLocal' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.zeta_mul_gFun_prime_pow' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.fakeCoeff_eq_zeta_mul_gFun' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.norm_natCast_cpow_neg_lt_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.one_sub_natCast_cpow_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.prod_primesBelow_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.zetaTail_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.hasProd_inv_zetaTail' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.gLoc_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.norm_gLoc_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.norm_gFun_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.LSeriesSummable_gFun' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.tsum_term_gFun_prime_pow' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.LSeries_gFun_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.LSeries_fakeCoeff_eq_poleShadow' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.differentiableAt_prod_primesBelow' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.differentiableAt_zetaTail' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.zetaTail_residue' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.residue_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.tendsto_shift' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.tendsto_div_zetaTail_shift' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.tendsto_inv_zetaTail_shift' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.eventually_zetaTail_shift_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.s₀_re' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.s₀_im' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.s₀_ne_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.s₀_add_c₂' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.one_add_two_t_ne_one' depends on axioms: [propext, Classical.choice, Quot.sound]
